video_id,title,channel,published_at,views,likes,comments
wc_usa_001,USA vs Mexico,FIFA,2026-06-15T20:00:00Z,45700000,850000,125000
wc_usa_002,Pulisic Goal,FIFA,2026-06-20T18:30:00Z,32100000,620000,98000
wc_usa_003,USA Best Moments,US Soccer,2026-06-25T19:00:00Z,28500000,480000,75000
wc_usa_004,USMNT vs England,FIFA,2026-07-02T20:00:00Z,67200000,1200000,185000
wc_usa_005,Balogun Interview,US Soccer,2026-07-03T15:30:00Z,19800000,420000,62000
wc_usa_006,All USA Goals,FIFA,2026-06-30T18:00:00Z,38900000,710000,105000
wc_usa_007,Goalkeeper Saves,FIFA,2026-07-01T19:00:00Z,22300000,380000,58000
wc_usa_008,Pulisic Best Plays,FIFA,2026-07-04T17:00:00Z,51400000,950000,142000
wc_usa_009,USA to Semifinals,US Soccer,2026-07-05T21:00:00Z,73600000,1380000,210000
wc_usa_010,World Cup Finals,FIFA,2026-07-19T20:00:00Z,125300000,2150000,385000
